rank,seed,lambda,test_rmse,rel_error,recovered_rank,runtime,n_iter
2,0,0.07590838111176006,0.0017362818188938701,0.03337781347162499,20,0.5570738315582275,55
2,1,0.07585128154719552,0.001702279395351462,0.03264054205241469,20,0.6150710582733154,61
2,2,0.07612918370453385,0.0017632725156261377,0.034037846924451186,20,0.6438868045806885,66
5,0,0.07452043846515537,0.00394157003047679,0.0541426285760837,50,0.7994775772094727,79
5,1,0.07575376879552773,0.0041942238895457595,0.054274365906487945,48,0.7471625804901123,74
5,2,0.07357896501417813,0.004139519395588011,0.055511089503062015,50,1.1069040298461914,109
10,0,0.07688597855185487,0.008532191495408776,0.07896136305168096,67,1.0438408851623535,106
10,1,0.07496813422970512,0.009263045705206013,0.08197243898055628,68,1.1475756168365479,115
10,2,0.10682714742833563,0.008583217473461194,0.07909559376320158,51,0.8115854263305664,84
20,0,0.07896256509872107,0.02247185477735568,0.13061029428666568,82,1.9968411922454834,201
20,1,0.07945000897399487,0.022579208366726142,0.1327397637406518,81,1.952782154083252,202
20,2,0.1135897239013749,0.022101012098241623,0.1349616176468232,70,1.456566333770752,148
40,0,0.17785830616356144,0.07844309303538878,0.31154323696709796,84,2.0753064155578613,208
40,1,0.11981460670947867,0.0807382342565172,0.32413707818153215,90,2.802290916442871,294
40,2,0.122760381567639,0.08345750371541652,0.32704181515875425,89,2.7891273498535156,293
